Average_Reward,SEM_Reward,Optimal_Action_Percentage
1.229480596443917273e+00,8.615097075997649179e-02,5.900000000000000000e+01
1.315722242672664688e+00,8.489173186924676984e-02,6.000000000000000000e+01
1.117934787677733244e+00,9.234422557591519254e-02,6.100000000000000000e+01
1.303356314575704111e+00,7.664867885435174000e-02,5.850000000000000000e+01
1.336126846906500187e+00,8.370281809743769508e-02,5.850000000000000000e+01
1.318663840631739692e+00,9.243121163368354931e-02,5.699999999999999289e+01
1.221316689006753720e+00,8.270135550216829723e-02,5.900000000000000000e+01
1.394881050426790559e+00,7.644468382730518208e-02,5.900000000000000000e+01
1.345212621710099032e+00,8.719438213601411747e-02,5.850000000000000000e+01
1.408087511008857540e+00,7.833596975251612415e-02,6.050000000000000000e+01
1.274338687258369296e+00,8.360924972123209842e-02,6.100000000000000000e+01
1.356198407063921918e+00,8.241994798548442358e-02,5.799999999999999289e+01
1.465929747565317687e+00,8.112989849282788157e-02,6.050000000000000000e+01
1.364799052021830050e+00,8.564839005073074385e-02,5.799999999999999289e+01
1.369455250398281088e+00,8.316868602749005746e-02,5.900000000000000000e+01
1.269096801195108037e+00,7.927877702464222742e-02,5.900000000000000000e+01
1.371091317581319302e+00,7.566178929832963196e-02,6.050000000000000000e+01
1.274714075873936814e+00,8.667935242940860707e-02,5.850000000000000000e+01
1.252512549803874498e+00,8.486561977570843129e-02,6.100000000000000000e+01
1.449478617322963681e+00,8.504362908317912584e-02,6.250000000000000000e+01
1.416490540415435984e+00,8.150300816621423861e-02,6.100000000000000000e+01
1.319909230220749796e+00,8.584519183896992256e-02,6.100000000000000000e+01
1.497966112208852785e+00,8.343735210505820454e-02,6.000000000000000000e+01
1.270400128291060637e+00,8.524467948064540224e-02,5.900000000000000000e+01
1.454932242634984663e+00,8.779188573126993356e-02,6.200000000000000000e+01
1.418382391885289362e+00,8.280595647070405907e-02,6.050000000000000000e+01
1.387289393463750464e+00,8.159530696094141611e-02,6.100000000000000000e+01
1.247813172819534966e+00,8.750567339034391601e-02,6.100000000000000000e+01
1.278810484925417157e+00,9.040498659299169015e-02,6.150000000000000000e+01
1.154165198325484365e+00,8.311487654206563269e-02,5.950000000000000000e+01
1.224061900014939308e+00,8.485718347930390482e-02,5.850000000000000000e+01
1.325649765058730667e+00,7.925646873163441630e-02,6.250000000000000000e+01
1.441246770528594290e+00,7.706655858781343016e-02,5.799999999999999289e+01
1.372507132757680770e+00,8.764765912590792574e-02,6.200000000000000000e+01
1.350487987237638077e+00,8.189266365395536651e-02,6.100000000000000000e+01
1.231491745325275167e+00,8.974279644922489307e-02,6.450000000000000000e+01
1.397162305202113153e+00,7.911789238495120502e-02,6.050000000000000000e+01
1.435987596987883030e+00,8.718442419120532583e-02,6.300000000000000000e+01
1.287483189972562947e+00,8.186441127326989087e-02,6.050000000000000000e+01
1.356088047523479112e+00,7.851763361882579950e-02,6.100000000000000000e+01
1.343510951169127443e+00,8.327719765942752372e-02,6.100000000000000000e+01
1.367359459492638152e+00,8.503567457864899537e-02,6.100000000000000000e+01
1.301959004710244949e+00,9.093352839462644222e-02,6.050000000000000000e+01
1.314543936858280748e+00,8.742396820877999797e-02,6.000000000000000000e+01
1.440227924530149473e+00,8.964135351560710563e-02,6.200000000000000000e+01
1.298143901860851157e+00,8.362869743097199604e-02,6.200000000000000000e+01
1.424040144396137464e+00,8.888055939350548995e-02,5.950000000000000000e+01
1.445087924441289973e+00,8.009102511557354698e-02,6.150000000000000000e+01
1.354185138721413217e+00,8.199419258922015230e-02,6.000000000000000000e+01
1.345860123530544517e+00,7.944767850709294477e-02,6.000000000000000000e+01
1.280242937020936722e+00,7.934772945981279080e-02,6.200000000000000000e+01
1.358462084105912515e+00,8.249757401955323810e-02,6.150000000000000000e+01
1.289410240087824677e+00,8.145232088903375800e-02,6.100000000000000000e+01
1.280330316787124723e+00,8.298140057645841949e-02,6.050000000000000000e+01
1.307828965734635362e+00,8.239635991095173306e-02,6.100000000000000000e+01
1.331369850408133937e+00,8.012687280672267653e-02,6.200000000000000000e+01
1.273575855535147294e+00,8.821192414148779082e-02,6.050000000000000000e+01
1.359894850553750034e+00,8.050454310982574357e-02,6.200000000000000000e+01
1.380382274730862724e+00,8.053851282398076517e-02,6.150000000000000000e+01
1.302896403561939476e+00,8.041373510977843642e-02,6.150000000000000000e+01
1.246710405922500264e+00,7.897806255419138888e-02,6.150000000000000000e+01
1.266002919609463540e+00,8.485350372753630577e-02,6.300000000000000000e+01
1.346180409835025404e+00,8.486147851942783815e-02,6.000000000000000000e+01
1.441696248542708059e+00,8.090504673006700120e-02,6.300000000000000000e+01
1.388662612168151567e+00,8.641991890614787730e-02,6.100000000000000000e+01
1.402172449229188045e+00,8.123202798239022304e-02,6.100000000000000000e+01
1.334252529632300677e+00,8.610253493523262192e-02,6.100000000000000000e+01
1.374682114724628201e+00,8.747709830898560412e-02,6.150000000000000000e+01
1.283176888346373890e+00,8.747858225892354844e-02,6.000000000000000000e+01
1.442351262854992378e+00,7.976735780420088351e-02,6.450000000000000000e+01
1.321383996011286088e+00,7.782645197067625253e-02,6.100000000000000000e+01
1.346015587623899945e+00,8.550787656142512516e-02,6.000000000000000000e+01
1.426182214263628900e+00,8.402270455273673500e-02,6.150000000000000000e+01
1.415275096857468773e+00,7.851919604475697534e-02,6.100000000000000000e+01
1.371094383429987795e+00,7.732404780508338182e-02,6.250000000000000000e+01
1.470126471327046325e+00,9.180669245786313160e-02,6.100000000000000000e+01
1.294568954517909098e+00,8.384807665941783339e-02,6.500000000000000000e+01
1.366630001784343129e+00,7.729902325928843243e-02,6.250000000000000000e+01
1.225952510079507896e+00,8.469826659419041337e-02,6.300000000000000000e+01
1.195033744312404389e+00,8.047179788483661833e-02,6.150000000000000000e+01
1.428401835792994401e+00,8.464868676336868847e-02,6.200000000000000000e+01
1.267711268317063045e+00,8.031721554322211742e-02,6.350000000000000000e+01
1.286124829595452823e+00,8.782797313687379370e-02,6.200000000000000000e+01
1.304198894488105775e+00,8.636990811250601363e-02,6.400000000000000000e+01
1.283017986188828896e+00,8.575893992015043432e-02,6.350000000000000000e+01
1.379425925851073265e+00,8.146404302532768427e-02,6.200000000000000000e+01
1.179923189769447101e+00,8.660867170565919593e-02,6.250000000000000000e+01
1.287459040391551568e+00,8.135563423849555276e-02,6.050000000000000000e+01
1.370273608886302785e+00,8.542595616531346858e-02,6.300000000000000000e+01
1.362373168565702342e+00,8.109036564969997196e-02,6.050000000000000000e+01
1.273566643093482442e+00,8.186531454472237290e-02,6.100000000000000000e+01
1.377554899835050639e+00,7.625853786776731758e-02,6.200000000000000000e+01
1.193613893011288507e+00,7.679989819762958470e-02,6.100000000000000000e+01
