Average_Reward,SEM_Reward,Optimal_Action_Percentage
1.131608104795964298e+00,1.007602573302419785e-01,6.150000000000000000e+01
8.104375861613317689e-01,9.736689891179030332e-02,5.500000000000000711e+01
1.014210903587473123e+00,9.399523771639886616e-02,5.300000000000000000e+01
9.970787787477720654e-01,1.030241924564262862e-01,5.500000000000000711e+01
1.063967194799685156e+00,9.448269606714287949e-02,5.950000000000000000e+01
8.439265641827473630e-01,1.018661326108658421e-01,5.600000000000000711e+01
1.120106318577467341e+00,9.943386431395129232e-02,6.250000000000000000e+01
1.097827329100774518e+00,9.814000054167215659e-02,5.850000000000000000e+01
1.060026349113147193e+00,1.023577170806946324e-01,6.250000000000000000e+01
1.035571421764987621e+00,9.323315825032567339e-02,5.600000000000000711e+01
9.755465512953216400e-01,8.684066970123245632e-02,5.600000000000000711e+01
1.073349368279147509e+00,9.162721666849041324e-02,6.100000000000000000e+01
1.123867590347308765e+00,9.076233234117181414e-02,6.600000000000000000e+01
9.292718043457369737e-01,9.808861707671924501e-02,6.000000000000000000e+01
1.240030883896637626e+00,9.082537431830176033e-02,6.450000000000000000e+01
1.113795215238535308e+00,9.636802541284486545e-02,6.250000000000000000e+01
1.025617045284533679e+00,1.047556933621818925e-01,6.100000000000000000e+01
1.245543668313428443e+00,1.008627160722917193e-01,6.300000000000000000e+01
1.041775086811215001e+00,9.373010149318904138e-02,6.050000000000000000e+01
1.206711028898535432e+00,9.173578071770599474e-02,6.250000000000000000e+01
1.202407423035475986e+00,9.357244368432694748e-02,6.300000000000000000e+01
1.115970614192428600e+00,9.161962958491988440e-02,6.300000000000000000e+01
9.829058672390823537e-01,9.521917596738603551e-02,6.000000000000000000e+01
1.033822436075776841e+00,9.334102744930108941e-02,5.950000000000000000e+01
9.673417669583489475e-01,9.623753906713934658e-02,6.500000000000000000e+01
1.079188410359425143e+00,9.245004161119514674e-02,6.750000000000000000e+01
1.109964689886435041e+00,8.584260092887008309e-02,6.400000000000000000e+01
1.190879705709525949e+00,8.491669097856494042e-02,6.250000000000000000e+01
1.100100406296441902e+00,9.501213103807920612e-02,6.200000000000000000e+01
1.112034928296765868e+00,9.210908387461567981e-02,6.200000000000000000e+01
9.382189244468855938e-01,9.974239498149886640e-02,6.200000000000000000e+01
1.274612424155304291e+00,8.386219149401845374e-02,6.900000000000000000e+01
1.173394517472053700e+00,9.719737141172950234e-02,5.799999999999999289e+01
9.618478350671074706e-01,9.411796894120311174e-02,5.900000000000000000e+01
1.226500510060328564e+00,8.850965550812436855e-02,6.700000000000000000e+01
1.091452716688734004e+00,1.021752654142288191e-01,6.100000000000000000e+01
1.169020276674425318e+00,9.355944914386449263e-02,6.450000000000000000e+01
1.127221228613365378e+00,9.675092342394882305e-02,6.750000000000000000e+01
1.108361347235584438e+00,9.758544197281371346e-02,6.300000000000000000e+01
1.274723703530928232e+00,9.716552173954708105e-02,6.700000000000000000e+01
1.124526836933740892e+00,8.429862486252996667e-02,6.400000000000000000e+01
1.273428045870197645e+00,9.548217615315612861e-02,6.600000000000000000e+01
1.228179995673475799e+00,9.157015449066090162e-02,6.650000000000000000e+01
1.163451488888674890e+00,9.041703259754793609e-02,6.600000000000000000e+01
1.239948576048522932e+00,8.768847562639137116e-02,6.900000000000000000e+01
1.131191966285846284e+00,8.784701350145424081e-02,6.650000000000000000e+01
1.218818788100625827e+00,8.729788963673092150e-02,7.050000000000000000e+01
1.098548628055978638e+00,9.556057245671314981e-02,6.800000000000000000e+01
1.029818895814282431e+00,9.030878883797643919e-02,6.550000000000000000e+01
1.099149198027497887e+00,9.050232672210085927e-02,6.300000000000000000e+01
1.107628837743171557e+00,8.849184282314179195e-02,6.750000000000000000e+01
1.121965300935135135e+00,9.531629906778441019e-02,6.700000000000000000e+01
1.152989895069666204e+00,8.810936950295018832e-02,6.600000000000000000e+01
1.199154480205840700e+00,8.813075406405580792e-02,6.800000000000000000e+01
1.116450482494287799e+00,9.134125448790111901e-02,6.600000000000000000e+01
1.080167908716544778e+00,8.583210730247016473e-02,6.600000000000000000e+01
1.059075521174777101e+00,9.408182723603492059e-02,6.600000000000000000e+01
