Average_Reward,SEM_Reward,Optimal_Action_Percentage
1.300645480657041109e+00,8.019918642645985918e-02,7.150000000000000000e+01
1.394930427476567925e+00,7.887795637034063223e-02,7.000000000000000000e+01
1.184551325661314047e+00,8.139065675875319095e-02,7.100000000000000000e+01
1.371336531014920368e+00,9.361034538582971298e-02,6.900000000000000000e+01
1.287029998591511903e+00,8.863441235434253718e-02,7.150000000000000000e+01
1.275335633310135774e+00,7.829267193460426322e-02,6.600000000000000000e+01
1.365020328128214500e+00,8.329242395842975655e-02,6.700000000000000000e+01
1.454590189288788915e+00,8.593602873572475653e-02,7.000000000000000000e+01
1.363754226566295635e+00,8.250441004211749030e-02,6.900000000000000000e+01
1.389199221267805040e+00,8.406168644359350572e-02,6.850000000000000000e+01
1.430999413860838620e+00,8.069246526225609673e-02,6.800000000000000000e+01
1.288009851312928555e+00,8.369480578619198363e-02,6.700000000000000000e+01
1.417641686828357672e+00,8.644002299433274639e-02,7.050000000000000000e+01
1.376244727750775443e+00,8.409170345585570416e-02,7.050000000000000000e+01
1.447731446381588682e+00,8.092672175346297958e-02,7.000000000000000000e+01
1.328723494337181732e+00,8.575463445375861027e-02,6.950000000000000000e+01
1.396319416770084310e+00,8.436834148206780182e-02,7.250000000000000000e+01
1.404603921143801948e+00,8.027641902013232800e-02,7.050000000000000000e+01
1.420922774483161621e+00,8.304765214649269256e-02,7.100000000000000000e+01
1.345665322335540814e+00,8.342774288817735029e-02,7.000000000000000000e+01
1.340081728798352634e+00,8.428627686050234324e-02,6.800000000000000000e+01
1.445898090003951308e+00,8.977908134314492583e-02,7.300000000000000000e+01
1.379627016509200610e+00,8.431301880142712257e-02,6.950000000000000000e+01
1.201677188168326360e+00,8.934204230179988715e-02,6.900000000000000000e+01
1.537182866894927225e+00,8.906860256048385049e-02,7.300000000000000000e+01
1.369946535743488569e+00,7.808447602576554236e-02,7.100000000000000000e+01
1.470487305792814503e+00,7.793524973285978485e-02,7.200000000000000000e+01
1.300669921980169175e+00,9.027976416476518606e-02,6.850000000000000000e+01
1.271052292686064789e+00,8.305452424118855981e-02,6.800000000000000000e+01
1.436118794065812887e+00,8.770494575410309190e-02,6.950000000000000000e+01
