Average_Reward,SEM_Reward,Optimal_Action_Percentage
1.241967150503495931e+00,8.667596644477400247e-02,6.000000000000000000e+01
1.248532239313376868e+00,9.128152372589941332e-02,6.100000000000000000e+01
1.112615629775917991e+00,8.735355063497766970e-02,6.200000000000000000e+01
1.229139972902037137e+00,9.428458599514921712e-02,5.749999999999999289e+01
1.360623028233646004e+00,1.047298295014630343e-01,6.200000000000000000e+01
1.176852528163564893e+00,9.183017228699459633e-02,5.850000000000000000e+01
1.293244436844781298e+00,8.551612349340710628e-02,6.450000000000000000e+01
1.232434168868056235e+00,9.162395038363244093e-02,6.200000000000000000e+01
1.265743316491442672e+00,8.884751704162065222e-02,6.450000000000000000e+01
1.242216651172899367e+00,9.274406209237114063e-02,6.350000000000000000e+01
1.146984202682476139e+00,9.547831659664017534e-02,6.400000000000000000e+01
1.251303129604808717e+00,9.647798432826301673e-02,6.250000000000000000e+01
1.160446581389443788e+00,8.767017184282860365e-02,6.250000000000000000e+01
1.270842311843236150e+00,8.561594657872825809e-02,6.400000000000000000e+01
1.338682734587316681e+00,9.190469171377525781e-02,6.300000000000000000e+01
1.265901573264216262e+00,8.510541157686635216e-02,6.600000000000000000e+01
1.211420239532275067e+00,9.027143959206855583e-02,6.250000000000000000e+01
1.114033205326255604e+00,8.488230428107575165e-02,6.300000000000000000e+01
1.375406728844591253e+00,9.147357311120501988e-02,6.200000000000000000e+01
1.146597896494524038e+00,9.483939124844899260e-02,6.050000000000000000e+01
1.155898308546542186e+00,8.226030024981635658e-02,6.550000000000000000e+01
1.229795596333983276e+00,8.349610133464939465e-02,6.700000000000000000e+01
1.274764337369852507e+00,8.369194843230094716e-02,6.650000000000000000e+01
1.202013701107257804e+00,8.595146054235365540e-02,6.550000000000000000e+01
1.279059424673321343e+00,9.103156359925956842e-02,6.150000000000000000e+01
1.168886646656942974e+00,9.774596194919227266e-02,6.400000000000000000e+01
1.327314677006426358e+00,8.623693488844912103e-02,6.600000000000000000e+01
1.096877791505759703e+00,9.168712735826176075e-02,6.150000000000000000e+01
1.158265214629550455e+00,8.515829030051903781e-02,6.700000000000000000e+01
1.447099438796982662e+00,8.439476948088266151e-02,6.250000000000000000e+01
1.023445970644253800e+00,9.995466169674080414e-02,6.150000000000000000e+01
1.099006232402856442e+00,9.122198533648813445e-02,6.200000000000000000e+01
1.361281061911675749e+00,8.213130826359521519e-02,6.650000000000000000e+01
1.178240821246845593e+00,8.417287333926287696e-02,6.350000000000000000e+01
1.277429835479856557e+00,8.723088745888168960e-02,6.500000000000000000e+01
1.301478223796414646e+00,9.367942253095415395e-02,6.600000000000000000e+01
1.364105959135752721e+00,7.923340696488177792e-02,6.950000000000000000e+01
1.177926396279053378e+00,8.872806032776241192e-02,6.550000000000000000e+01
1.298684073326876298e+00,9.989552662296243002e-02,6.300000000000000000e+01
1.367902353087802725e+00,8.368013114184348622e-02,6.650000000000000000e+01
1.188315877080704075e+00,9.352849397775984952e-02,6.600000000000000000e+01
1.378561941289517812e+00,8.631896521347950935e-02,6.900000000000000000e+01
1.181834362473979105e+00,8.875994530427179507e-02,6.750000000000000000e+01
1.272903013905135161e+00,8.701987850035707017e-02,6.700000000000000000e+01
1.203134708644330475e+00,8.923473329450253011e-02,6.700000000000000000e+01
1.195541956765409086e+00,8.250032974322077384e-02,6.600000000000000000e+01
1.170014086537382703e+00,9.633014317490350142e-02,6.850000000000000000e+01
