Average_Reward,SEM_Reward,Optimal_Action_Percentage
1.040111793422979103e+00,7.836799607689337588e-02,2.849999999999999645e+01
9.420528616608498940e-01,8.359322609852017083e-02,2.849999999999999645e+01
1.125053514662618603e+00,8.114139215568247354e-02,2.849999999999999645e+01
9.278413080892401466e-01,8.592506923166601251e-02,2.849999999999999645e+01
1.073191568350351455e+00,8.063262771431868592e-02,2.849999999999999645e+01
1.065222487747077507e+00,7.752342239656927203e-02,2.849999999999999645e+01
9.949269514321233965e-01,7.881209389015972344e-02,2.849999999999999645e+01
8.904782300456587363e-01,7.914283385418310890e-02,2.849999999999999645e+01
9.353598832617023850e-01,8.343038209840285269e-02,2.849999999999999645e+01
7.876833961222456937e-01,8.119259734978027943e-02,2.849999999999999645e+01
8.609321622929368978e-01,8.152004197484463699e-02,2.849999999999999645e+01
9.479167822292160483e-01,7.672511848863391992e-02,2.849999999999999645e+01
1.078671382097970977e+00,7.326308637420354819e-02,2.849999999999999645e+01
9.990386193534152026e-01,8.052757038281653512e-02,2.849999999999999645e+01
9.829159120977076780e-01,8.428350319679672742e-02,2.849999999999999645e+01
8.527184259999627258e-01,8.448219132093062744e-02,2.849999999999999645e+01
1.025033717772546815e+00,7.690038579890098869e-02,2.849999999999999645e+01
1.050878881642625329e+00,8.486544695973423369e-02,2.849999999999999645e+01
9.091066042226774169e-01,8.239968306282346999e-02,2.849999999999999645e+01
9.938200225796766096e-01,8.227255566129296205e-02,2.849999999999999645e+01
9.643671751390676672e-01,8.141666361676287711e-02,2.849999999999999645e+01
9.946450925105474461e-01,8.411868399852555356e-02,2.849999999999999645e+01
9.397671222972473482e-01,8.834063114576830300e-02,2.849999999999999645e+01
9.342100664619760186e-01,8.381712506335120549e-02,2.849999999999999645e+01
1.071582727204298369e+00,8.293598006701861924e-02,2.849999999999999645e+01
9.327995040979213393e-01,7.834623689462708040e-02,2.849999999999999645e+01
1.055268484337118728e+00,8.412128664551374313e-02,2.849999999999999645e+01
1.080287081999413035e+00,7.440629747400004379e-02,2.849999999999999645e+01
1.005002409670738395e+00,7.841845819084623803e-02,2.849999999999999645e+01
9.963952363571756399e-01,7.574570465989698131e-02,2.849999999999999645e+01
9.016473637233857197e-01,7.550813220553551086e-02,2.849999999999999645e+01
9.756672509152121142e-01,8.201830065105958356e-02,2.849999999999999645e+01
9.103670187452199691e-01,7.761307827661376169e-02,2.849999999999999645e+01
8.886200836037727591e-01,8.360891363181813252e-02,2.849999999999999645e+01
9.189068795433132930e-01,8.241869897481586549e-02,2.849999999999999645e+01
9.570205487477838613e-01,7.913633097415981310e-02,2.849999999999999645e+01
9.134940281073293811e-01,8.198599408384682485e-02,2.849999999999999645e+01
9.734387579447989491e-01,8.026565620450383520e-02,2.849999999999999645e+01
9.962601607825497529e-01,7.627510493481755305e-02,2.849999999999999645e+01
9.042075471392017061e-01,7.837349775138799379e-02,2.849999999999999645e+01
8.731994953403849902e-01,7.488375340950693959e-02,2.849999999999999645e+01
8.723312821323774280e-01,8.236471524964748825e-02,2.849999999999999645e+01
9.852915292564388139e-01,8.150341345820641403e-02,2.849999999999999645e+01
1.054369389560560588e+00,7.977683840884762512e-02,2.849999999999999645e+01
1.014514553103818661e+00,8.059847592732508059e-02,2.849999999999999645e+01
1.025660669209846443e+00,7.819240397060225889e-02,2.849999999999999645e+01
9.506833441113762273e-01,8.301695707015864512e-02,2.849999999999999645e+01
9.882784788492081640e-01,8.123622361215754317e-02,2.849999999999999645e+01
9.136134295275556427e-01,8.152991633670580995e-02,2.849999999999999645e+01
1.039453079784538048e+00,7.523535567119121747e-02,2.849999999999999645e+01
9.508365446899336160e-01,7.464437400162790559e-02,2.849999999999999645e+01
9.759635742284592519e-01,8.185124051328111772e-02,2.849999999999999645e+01
1.038288412090990986e+00,8.145950823066896995e-02,2.849999999999999645e+01
1.034827086568409049e+00,7.567219316674832219e-02,2.849999999999999645e+01
9.762861811630049180e-01,7.462243412382602026e-02,2.849999999999999645e+01
1.082542692340250134e+00,8.229164104735146867e-02,2.849999999999999645e+01
8.975662410237490452e-01,8.290939929638098393e-02,2.849999999999999645e+01
9.709599895467667663e-01,7.499748928622236577e-02,2.849999999999999645e+01
8.568009323797162180e-01,8.113310692857625406e-02,2.849999999999999645e+01
8.218363516352553688e-01,8.020488940317098414e-02,2.849999999999999645e+01
1.049782950373564505e+00,8.045823444797566004e-02,2.849999999999999645e+01
8.829478985943365332e-01,8.317656956264157797e-02,2.849999999999999645e+01
9.305612911008310784e-01,8.539262462032570777e-02,2.849999999999999645e+01
9.124439102536021640e-01,7.645599952810716582e-02,2.849999999999999645e+01
9.067350917243787167e-01,8.281124657397744004e-02,2.849999999999999645e+01
9.832572121603678772e-01,8.135912427282071535e-02,2.849999999999999645e+01
7.925464748969502926e-01,8.456391406881394457e-02,2.849999999999999645e+01
9.046317590708489176e-01,8.250230015762172187e-02,2.849999999999999645e+01
9.915946977251938188e-01,8.680108391812335622e-02,2.849999999999999645e+01
1.035969640730186825e+00,8.044700571393829935e-02,2.849999999999999645e+01
9.236041728074324553e-01,7.554821285362003924e-02,2.849999999999999645e+01
1.001364851278817358e+00,7.786232786135965922e-02,2.849999999999999645e+01
7.952033816091577112e-01,7.434708234340761668e-02,2.849999999999999645e+01
9.773225814497200625e-01,8.788191062902887818e-02,2.849999999999999645e+01
8.601126060528240247e-01,8.384563014180944351e-02,2.849999999999999645e+01
8.962541236556511581e-01,7.652038873288929954e-02,2.849999999999999645e+01
9.824983690591452268e-01,8.505351770462842020e-02,2.849999999999999645e+01
1.077280691137761703e+00,7.958580803956434579e-02,2.849999999999999645e+01
9.891476531550031925e-01,8.357420144868689393e-02,2.849999999999999645e+01
9.813301947908137368e-01,8.513324093183785579e-02,2.849999999999999645e+01
1.048434241591642113e+00,7.419315102979059939e-02,2.849999999999999645e+01
9.128950112116852589e-01,7.650139863522875672e-02,2.849999999999999645e+01
1.022857612190789078e+00,8.412290562801545690e-02,2.849999999999999645e+01
9.642083423869708403e-01,8.542703811507096345e-02,2.849999999999999645e+01
1.050665695388612209e+00,7.976512859513802678e-02,2.849999999999999645e+01
9.509579716474364508e-01,8.170672387799356173e-02,2.849999999999999645e+01
9.874179175476830439e-01,8.160223010630478224e-02,2.849999999999999645e+01
9.935503725310576018e-01,7.871189268247438808e-02,2.849999999999999645e+01
1.006284770619400248e+00,7.941938835568801425e-02,2.849999999999999645e+01
9.607142566725641597e-01,8.244756516124739087e-02,2.849999999999999645e+01
9.777060262108585587e-01,7.849490434129287320e-02,2.849999999999999645e+01
1.080045508085689665e+00,8.213124087678283503e-02,2.849999999999999645e+01
9.884305947518544633e-01,8.156037010982850055e-02,2.849999999999999645e+01
8.193993040547886686e-01,7.844225966510402770e-02,2.849999999999999645e+01
1.106870216853174549e+00,8.291785672958199016e-02,2.849999999999999645e+01
9.384256196471395528e-01,7.516713625458659731e-02,2.849999999999999645e+01
1.072487637606027056e+00,7.599317073462387440e-02,2.849999999999999645e+01
9.322301552167653327e-01,8.426893021649756177e-02,2.849999999999999645e+01
9.167146665042920084e-01,7.803104442195164803e-02,2.849999999999999645e+01
1.092268726286758973e+00,8.181687660776672255e-02,2.849999999999999645e+01
9.784720640897637267e-01,7.936600224118549318e-02,2.849999999999999645e+01
9.781300128791633464e-01,7.809362612856171615e-02,2.849999999999999645e+01
